OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,park_per1k
1382,430801,6768,4933.0,10254,2409.0,3650,68.7,94196,273.0,4.03368794326241,14.35,3.32,57.15,20.06,4.84,12.51,2.23,18401605.7402344,17780.5050627175,0.940953
1383,430802,4268,3401.0,5945,1379.0,1921,73.1,106902,661.0,15.4873477038426,14.2,0.39,74.87,8.86,10.7,17.99,6.38,20014143.9970703,19713.9784280516,2.849452
1384,430803,5391,4176.0,6130,1822.0,2072,75.9,81875,293.0,5.43498423298089,20.9,0.0,61.6,14.74,4.65,15.18,3.55,24516002.457031295,21886.6155289597,0.829347
1385,430901,4521,3400.0,10056,1715.0,3815,72.6,71667,468.0,10.3516921035169,21.09,8.66,16.95,47.45,11.79,9.32,14.14,12533248.1464844,14932.6049605073,0.383096
1386,430902,5190,3776.0,11413,1982.0,4358,71.5,90930,403.0,7.76493256262042,24.57,5.27,24.23,43.56,6.33,4.98,8.49,12677912.2949219,17022.453004095,0.0
1387,431002,3261,2383.0,6240,1274.0,2438,77.1,48917,124.0,3.80251456608402,49.88,4.85,10.15,25.26,7.39,1.89,14.93,14569725.2607422,17516.334652343,5.771226
1388,431003,3825,3330.0,11601,1591.0,4826,72.4,69708,650.0,16.9934640522876,21.58,7.18,8.710000000000004,57.77,7.93,2.79,6.11,9191483.366210941,13223.528385186199,0.0
1389,431004,3344,2617.0,9555,1402.0,4006,72.3,72986,276.0,8.25358851674641,28.95,0.81,6.3,62.83,12.42,14.6,9.79,9756470.66503906,13608.7897800114,1.832347
1390,431100,7208,5332.0,6208,2801.0,2413,65.3,67500,268.0,3.7180910099889,13.84,12.71,13.84,55.74,18.38,11.14,15.88,32367055.59375,26288.3484684902,0.420346
1391,431200,6257,4897.0,10892,1511.0,2630,69.5,86951,522.0,8.34265622502797,12.06,7.98,10.52,68.07,22.91,16.07,13.62,16014637.8925781,20578.2081545549,0.521227
1392,431300,2658,2158.0,8430,912.0,2892,77.1,103846,77.0,2.89691497366441,31.26,0.81,13.52,45.11,8.16,5.98,7.63,8790517.25488281,14337.176854911,0.0
1393,431400,3919,3268.0,5644,1467.0,2113,70.5,74306,423.0,10.7935697882113,16.76,0.73,43.09,35.63,12.09,17.11,7.85,19356385.7119141,21367.5266561105,0.392086
1394,431501,4285,3364.0,10691,1378.0,3438,73.4,57012,572.0,13.3488914819137,19.23,0.77,40.95,37.57,11.39,17.57,7.1,11174204.5400391,15337.4097346833,0.0
1395,431502,4256,3245.0,5450,1428.0,1829,78.0,65625,606.0,14.2387218045113,18.61,1.04,49.28,28.08,12.82,19.82,8.33,21770822.1787109,22578.669773259295,6.271122
1396,431600,4156,3525.0,5057,1385.0,1685,73.0,102025,200.0,4.81231953801732,20.61,2.71,63.34,9.11,5.48,19.12,6.42,22910771.7089844,23729.5009226201,0.61617
1397,431701,6760,5203.0,5328,2270.0,1789,69.9,112924,212.0,3.13609467455621,12.08,2.13,75.55,6.88,14.18,23.37,5.28,35371711.1962891,25397.659847691495,0.738545
1398,431800,5288,4539.0,10057,1754.0,3336,74.8,87148,394.0,7.45083207261725,26.42,2.34,54.29,11.89,12.58,17.34,7.68,14658205.6464844,16310.8343164649,0.0
1399,431900,3613,3031.0,9366,1326.0,3437,75.3,71468,500.0,13.8389150290617,11.53,0.21,66.44,18.67,9.17,23.99,11.31,10754445.4082031,14945.3786163439,0.553991
1400,432001,2581,2051.0,9152,744.0,2638,80.5,99767,137.0,5.30802014722976,8.25,1.5,80.75,9.46,18.58,30.23,9.14,7861967.732421879,12069.402730035896,1.924978
1401,432002,5331,4016.0,9146,1771.0,3038,78.4,64559,436.0,8.178578127930972,17.66,0.02,60.3,18.9,9.74,17.83,11.51,16249383.046875,17083.5784096471,0.0
1402,432101,4110,3383.0,9172,1403.0,3131,79.2,100698,132.0,3.21167883211679,19.22,0.02,59.97,15.46,12.18,15.52,6.96,12492483.796875,15250.2275683379,0.0
1403,432102,5983,4369.0,8285,1863.0,2580,79.2,94895,291.0,4.86378071201738,14.96,1.06,62.5,18.91,11.51,18.06,6.3,20132923.675781295,18702.4438314226,0.0
1404,432201,4269,4169.0,9085,1227.0,2611,73.5,84412,380.0,8.90138205668775,10.98,0.26,75.07,12.48,16.31,39.51,15.34,13099273.296875,15009.6071151299,0.454258
1405,432202,4258,3360.0,8357,1203.0,2361,76.2,70590,352.0,8.266791921089714,5.45,0.43,63.66,29.63,28.54,31.61,14.85,14204520.2695313,15699.9821794999,4.552854
1406,432300,3862,3016.0,5034,1160.0,1512,75.7,53125,511.0,13.2314862765407,9.03,0.0,34.85,50.75,26.59,29.74,8.68,21388852.7089844,21139.5086371521,0.871843
1407,432401,3578,2898.0,8727,951.0,2320,71.2,57656,467.0,13.0519843487982,3.12,0.15,35.06,61.49,31.68,31.95,8.130000000000004,11430187.1279297,17896.2579464937,2.644263
1408,432402,6024,4967.0,10321,1665.0,2853,73.5,57887,1004.0,16.6666666666667,4.7,0.91,39.43,54.72,35.72,32.76,19.73,16271819.6308594,18832.3216971733,0.0
1409,432501,4689,4015.0,11377,1252.0,3038,77.2,55893,399.0,8.509277031349972,10.18,0.54,38.32,50.01,32.55,21.77,17.77,11489768.1445313,16145.4861191495,0.000544
1410,432502,3388,3247.0,4986,921.0,1355,74.9,71577,120.0,3.54191263282172,3.98,0.0,44.85,49.41,14.41,26.7,5.48,18943571.9482422,20971.5715331786,0.0
1411,432601,6396,5842.0,11792,1652.0,3046,72.7,73339,761.0,11.8980612883052,3.82,3.68,36.37,55.12,26.21,27.87,15.3,15121527.6708984,17344.5356174649,0.0
1412,432602,4483,3679.0,10908,1121.0,2728,75.0,68407,393.0,8.766451037251842,3.02,0.02,41.72,53.19,26.23,33.6,4.440000000000002,11457807.3144531,14750.7989046852,0.0
1413,432700,5320,4276.0,7412,1442.0,2009,70.7,58750,648.0,12.1804511278195,1.8,0.0,24.26,73.82,30.36,31.1,11.74,20010930.6210938,22628.3970790108,0.712077
1414,432801,2591,2132.0,8234,451.0,1433,66.4,23487,690.0,26.6306445387881,0.24,0.0,45.88,53.88,37.29,48.5,37.89,8772998.46875,13495.965579384596,1.704059
1415,432802,5590,3873.0,24427,1390.0,6074,60.0,50417,1320.0,23.613595706619,1.72,0.0,19.47,78.16,42.99,45.21,14.35,6379927.00390625,12169.770585599,0.09546
1416,432901,4239,3251.0,9676,1243.0,2837,74.4,56765,479.0,11.2998348667138,2.63,1.08,59.27,36.37,21.93,29.93,10.65,12213303.3886719,14095.209303042098,0.595314
1417,432902,3317,2656.0,7894,843.0,2006,76.1,73162,262.0,7.89870364787459,8.26,0.34,54.21,32.52,26.51,29.44,12.43,11714353.4453125,15036.1648031086,0.0
1418,433103,6695,5967.0,8326,1781.0,2215,68.2,60694,1197.0,17.8790141896938,1.89,0.0,45.69,49.03,37.86,40.14,14.46,22418407.551757798,25927.5728901783,0.313419
1419,433200,6100,4784.0,8839,1634.0,2368,71.2,56371,759.0,12.4426229508197,6.53,0.76,30.15,59.57,42.02,33.32,19.62,19238660.4013672,23403.9259526922,1.425141
1420,433302,1726,1331.0,5233,388.0,1176,58.9,51538,192.0,11.1239860950174,1.64,3.62,31.03,63.71,32.76,44.1,20.94,9194825.03027344,16806.5790094765,0.0
1421,433304,4587,3551.0,15045,1335.0,4379,65.1,42197,747.0,16.2851536952256,3.09,1.41,26.16,68.36,36.83,36.05,15.11,8499642.09960938,12749.0774320951,0.0
1422,433305,4639,3634.0,23471,1162.0,5879,64.0,40625,1061.0,22.8713084716534,3.08,0.39,28.83,65.09,38.99,37.53,8.57,5510063.34472656,12378.720392857,0.965496
1423,433306,3102,2764.0,18499,743.0,4431,67.4,56010,588.0,18.9555125725338,2.41,0.26,31.44,63.94,37.19,33.83,7.0,4674828.83203125,12132.8118905556,0.0
