CT20,total_park_acres
"320300",8.113902
"400205",2459.444896
"400206",37.589809
"400207",182.346801
"400208",16.550321
"400209",70.618535
"400304",16.4796
"400403",123.490281
"400404",99.568522
"400501",244.221993
"400602",4.370127
"400603",41.315748
"400605",95.101278
"400801",16.407827
"401001",1.740956
"401002",12.156673
"401101",1.264536
"401102",0.514115
"401202",26.369571
"401203",8.198223
"401303",614.194038
"401304",1246.94272
"401311",30.803034
"401312",24.880415
"401500",11.597815
"401601",3.88109
"401602",40.421123
"401705",9.522981
"401707",4.215726
"401801",2.506873
"401802",19.635332
"401901",2.486871
"401902",16.354043
"402001",7.57012
"402002",15.510476
"402102",23.364915
"402200",61.599656
"402301",4.769686
"402304",1.360968
"402403",6.690504
"402405",0.001279
"402406",7.76738
"402503",8.891521
"402504",1.634344
"402602",3.030912
"402702",2.655017
"402703",6.107805
"402706",3.289323
"402804",20.526279
"402902",3.97896
"403000",5.620741
"403305",6.474337
"403316",16.460493
"403317",31.391171
"403318",10.643974
"403319",50.08794
"403320",41.330662
"403321",7.289349
"403323",5.446431
"403324",11.630141
"403325",8.303167
"403328",0.348202
"403401",29.003045
"403403",30.671918
"403404",49.05585
"403407",63.273952
"403408",55.152079
"403409",158.208207
"403500",96.275011
"403601",2.198353
"403703",4.51747
"403721",5.90873
"403722",16.454494
"403801",11.820749
"403902",5.422643
"404000",22.383498
"404201",8.43124
"404203",9.142726
"404301",3.841451
"404302",4.901471
"404401",13.241455
"404402",27.192096
"404501",9.127283
"404504",11.167363
"404600",952.698741
"404701",6.57437
"404703",4.559657
"405102",8.055144
"405201",1.958142
"405302",9.231199
"405600",9.145432
"405900",9.503618
"406101",13.98694
"406103",1.049858
"406300",23.871887
"406413",18.656013
"406500",6.35433
"406602",5.57177
"406702",10.993644
"407001",1.365817
"407002",10.067118
"407302",6.82219
"407702",22.698349
"407801",9.596721
"407802",92.035773
"408004",9.994004
"408005",41.506545
"408006",46.48898
"408133",37.488343
"408134",62.650058
"408135",28.927082
"408136",5.975418
"408138",0.068498
"408140",7.055538
"408141",0.016325
"408212",10.231169
"408301",44.801309
"408302",49.006953
"408303",45.665195
"408401",7.238311
"408402",522.141607
"408503",10.874512
"408505",12.116193
"408624",16.897524
"408626",155.857636
"408627",437.191596
"408628",50.031029
"408629",0.004556
"408631",11.526448
"408703",125.512484
"408707",3.192402
"408722",10.648114
"408725",6.900688
"408800",2.024904
"408900",11.563683
"409000",16.962688
"430003",20.842438
"430004",0.862351
