OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,total,pct_walk,unwalkable,unwalkab_1,unwalkab_2,unwalkab_3,unwalkab_4,unwalkab_5,unwalkab_6,unwalkab_7,unwalkab_8,unwalkab_9,unwalkab10,unwalkab11,unwalkab12,unwalkab13,unwalkab14,unwalkab15,unwalkab16,unwalkab17,unwalkab18,unwalkab19
"1054","293307","2475","1837","18913","916","7000",56.700000000000003,"49604","442",17.858585858585901,10.279999999999999,7.190000000000000,16.820000000000000,62.750000000000000,23.899999999999999,17.370000000000001,11.100000000000000,3648247.744140630122274,9160.784815860819435,338889.811400,"84","293307","2475","1837","18913","916","7000",56.700000000000003,"49604","442",17.858585858585901,10.279999999999999,7.190000000000000,16.820000000000000,62.750000000000000,23.899999999999999,17.370000000000001,11.100000000000000,3648247.744140630122274,9160.784815860819435,54583.62083
"1055","294110","3850","2724","10079","1075","2814",57.600000000000001,"43724","356",9.246753246753251,12.970000000000001,0.000000000000000,1.510000000000000,82.359999999999999,32.640000000000001,19.090000000000000,14.210000000000001,10648763.560546897351742,16670.817040830199403,989179.802700,"53","294110","3850","2724","10079","1075","2814",57.600000000000001,"43724","356",9.246753246753251,12.970000000000001,0.000000000000000,1.510000000000000,82.359999999999999,32.640000000000001,19.090000000000000,14.210000000000001,10648763.560546897351742,16670.817040830199403,464104.89504
"1056","294120","2346","2088","3892","554","919",55.000000000000000,"39984","550",23.444160272804801,0.370000000000000,1.650000000000000,2.090000000000000,95.180000000000007,43.969999999999999,29.260000000000002,9.699999999999999,16804337.503906298428774,17112.992500082600600,1560977.678000,"68","294120","2346","2088","3892","554","919",55.000000000000000,"39984","550",23.444160272804801,0.370000000000000,1.650000000000000,2.090000000000000,95.180000000000007,43.969999999999999,29.260000000000002,9.699999999999999,16804337.503906298428774,17112.992500082600600,495195.47377
"1057","294200","4701","3656","12764","1308","3551",62.399999999999999,"72904","320",6.807062327164430,4.160000000000000,2.380000000000000,4.820000000000000,87.870000000000005,33.920000000000002,19.280000000000001,9.369999999999999,10267494.613281300291419,12897.319714230399768,953761.739300,"57","294200","4701","3656","12764","1308","3551",62.399999999999999,"72904","320",6.807062327164430,4.160000000000000,2.380000000000000,4.820000000000000,87.870000000000005,33.920000000000002,19.280000000000001,9.369999999999999,10267494.613281300291419,12897.319714230399768,408000.46783
"1058","294301","2500","2008","9080","630","2288",59.700000000000003,"80382","88",3.520000000000000,5.130000000000000,1.000000000000000,9.010000000000000,84.680000000000007,25.399999999999999,16.430000000000000,11.570000000000000,7676011.796875000000000,11675.194189536099657,713035.667700,,,,,,,,,,,,,,,,,,,,,
"1059","294302","4544","3282","14004","1196","3686",62.100000000000001,"54595","580",12.764084507042300,4.930000000000000,4.010000000000000,2.550000000000000,86.519999999999996,40.920000000000002,26.390000000000001,10.210000000000001,9046111.651367189362645,14638.178023650500108,840300.863500,"100","294302","4544","3282","14004","1196","3686",62.100000000000001,"54595","580",12.764084507042300,4.930000000000000,4.010000000000000,2.550000000000000,86.519999999999996,40.920000000000002,26.390000000000001,10.210000000000001,9046111.651367189362645,14638.178023650500108,2596.49033
"1060","294410","5290","3706","16430","1096","3404",60.899999999999999,"47027","1287",24.328922495274099,8.949999999999999,18.129999999999999,16.969999999999999,52.460000000000001,15.430000000000000,13.840000000000000,15.490000000000000,8975866.652343750000000,12597.189123862299311,833781.234100,,,,,,,,,,,,,,,,,,,,,
"1061","294421","2779","2200","10689","1137","4373",51.700000000000003,"46168","620",22.310183519251499,8.029999999999999,6.730000000000000,12.070000000000000,72.120000000000005,35.229999999999997,19.449999999999999,18.300000000000001,7247758.878906250000000,16413.825187741200352,673253.476800,,,,,,,,,,,,,,,,,,,,,
"1062","294510","4082","3507","20398","1098","5487",58.700000000000003,"56324","751",18.397844194022500,2.350000000000000,0.230000000000000,2.060000000000000,95.349999999999994,45.109999999999999,29.680000000000000,18.059999999999999,5578850.222656250000000,9841.680984532629736,518224.428600,"6","294510","4082","3507","20398","1098","5487",58.700000000000003,"56324","751",18.397844194022500,2.350000000000000,0.230000000000000,2.060000000000000,95.349999999999994,45.109999999999999,29.680000000000000,18.059999999999999,5578850.222656250000000,9841.680984532629736,487570.75547
"1063","294520","3438","2558","18392","901","4820",60.299999999999997,"50357","623",18.121000581733600,2.650000000000000,1.740000000000000,0.550000000000000,94.879999999999995,33.700000000000003,24.710000000000001,10.880000000000001,5211211.272460939362645,9527.664462846480092,484074.028100,"86","294520","3438","2558","18392","901","4820",60.299999999999997,"50357","623",18.121000581733600,2.650000000000000,1.740000000000000,0.550000000000000,94.879999999999995,33.700000000000003,24.710000000000001,10.880000000000001,5211211.272460939362645,9527.664462846480092,66998.95083
