intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
5.413639,"1","1",5.413639,5.413639,0,5.413639,5.413639,5.413639,0,5.413639,5.413639,5.413639,5.413639,0
6.922095,"1","1",6.922095,6.922095,0,6.922095,6.922095,6.922095,0,6.922095,6.922095,6.922095,6.922095,0
10.481592,"1","1",10.481592,10.481592,0,10.481592,10.481592,10.481592,0,10.481592,10.481592,10.481592,10.481592,0
14.717602,"1","1",14.717602,14.717602,0,14.717602,14.717602,14.717602,0,14.717602,14.717602,14.717602,14.717602,0
9.503618,"1","1",9.503618,9.503618,0,9.503618,9.503618,9.503618,0,9.503618,9.503618,9.503618,9.503618,0
0.037444,"1","1",0.037444,0.037444,0,0.037444,0.037444,0.037444,0,0.037444,0.037444,0.037444,0.037444,0
1.399306,"1","1",1.399306,1.399306,0,1.399306,1.399306,1.399306,0,1.399306,1.399306,1.399306,1.399306,0
1.292145,"1","1",1.292145,1.292145,0,1.292145,1.292145,1.292145,0,1.292145,1.292145,1.292145,1.292145,0
8.518874,"1","1",8.518874,8.518874,0,8.518874,8.518874,8.518874,0,8.518874,8.518874,8.518874,8.518874,0
2.989674,"1","1",2.989674,2.989674,0,2.989674,2.989674,2.989674,0,2.989674,2.989674,2.989674,2.989674,0
33.892525,"1","1",33.892525,33.892525,0,33.892525,33.892525,33.892525,0,33.892525,33.892525,33.892525,33.892525,0
14.248970,"1","1",14.24897,14.24897,0,14.24897,14.24897,14.24897,0,14.24897,14.24897,14.24897,14.24897,0
0.112823,"1","1",0.112823,0.112823,0,0.112823,0.112823,0.112823,0,0.112823,0.112823,0.112823,0.112823,0
2.080909,"1","1",2.080909,2.080909,0,2.080909,2.080909,2.080909,0,2.080909,2.080909,2.080909,2.080909,0
1.191852,"1","1",1.191852,1.191852,0,1.191852,1.191852,1.191852,0,1.191852,1.191852,1.191852,1.191852,0
0.005343,"1","1",0.005343,0.005343,0,0.005343,0.005343,0.005343,0,0.005343,0.005343,0.005343,0.005343,0
9.987895,"1","1",9.987895,9.987895,0,9.987895,9.987895,9.987895,0,9.987895,9.987895,9.987895,9.987895,0
9.787579,"1","1",9.787579,9.787579,0,9.787579,9.787579,9.787579,0,9.787579,9.787579,9.787579,9.787579,0
1.681681,"1","1",1.681681,1.681681,0,1.681681,1.681681,1.681681,0,1.681681,1.681681,1.681681,1.681681,0
0.120279,"1","1",0.120279,0.120279,0,0.120279,0.120279,0.120279,0,0.120279,0.120279,0.120279,0.120279,0
